/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 1.468
epoch done with 1.326
epoch done with 1.205
epoch done with 1.100
epoch done with 1.008
epoch done with 0.926
epoch done with 0.853
epoch done with 0.788
epoch done with 0.731
epoch done with 0.682
epoch done with 0.638
epoch done with 0.602
epoch done with 0.570
epoch done with 0.542
epoch done with 0.517
epoch done with 0.497
epoch done with 0.478
epoch done with 0.461
epoch done with 0.446
epoch done with 0.432
epoch done with 0.419
epoch done with 0.407
epoch done with 0.396
epoch done with 0.386
epoch done with 0.377
epoch done with 0.368
epoch done with 0.360
epoch done with 0.353
epoch done with 0.346
epoch done with 0.339
epoch done with 0.331
epoch done with 0.323
epoch done with 0.313
epoch done with 0.300
epoch done with 0.285
epoch done with 0.268
epoch done with 0.251
epoch done with 0.234
epoch done with 0.217
epoch done with 0.201
epoch done with 0.187
epoch done with 0.176
epoch done with 0.167
epoch done with 0.161
epoch done with 0.156
epoch done with 0.152
epoch done with 0.149
epoch done with 0.146
epoch done with 0.144
epoch done with 0.143
epoch done with 0.141
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.132
epoch done with 0.132
epoch done with 0.131
epoch done with 0.131
epoch done with 0.131
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.01, 'l2_regularization_factor': 0.01, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
