/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.661
epoch done with 0.636
epoch done with 0.613
epoch done with 0.591
epoch done with 0.572
epoch done with 0.554
epoch done with 0.537
epoch done with 0.522
epoch done with 0.507
epoch done with 0.494
epoch done with 0.481
epoch done with 0.469
epoch done with 0.457
epoch done with 0.447
epoch done with 0.437
epoch done with 0.428
epoch done with 0.419
epoch done with 0.410
epoch done with 0.402
epoch done with 0.395
epoch done with 0.386
epoch done with 0.374
epoch done with 0.360
epoch done with 0.346
epoch done with 0.334
epoch done with 0.325
epoch done with 0.316
epoch done with 0.310
epoch done with 0.304
epoch done with 0.300
epoch done with 0.296
epoch done with 0.292
epoch done with 0.285
epoch done with 0.277
epoch done with 0.268
epoch done with 0.257
epoch done with 0.245
epoch done with 0.233
epoch done with 0.220
epoch done with 0.208
epoch done with 0.197
epoch done with 0.188
epoch done with 0.180
epoch done with 0.174
epoch done with 0.169
epoch done with 0.164
epoch done with 0.161
epoch done with 0.158
epoch done with 0.156
epoch done with 0.154
epoch done with 0.152
epoch done with 0.151
epoch done with 0.149
epoch done with 0.148
epoch done with 0.147
epoch done with 0.146
epoch done with 0.145
epoch done with 0.144
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.138
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.01, 'l2_regularization_factor': 0.1, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
