/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.880
epoch done with 0.800
epoch done with 0.734
epoch done with 0.681
epoch done with 0.639
epoch done with 0.605
epoch done with 0.576
epoch done with 0.551
epoch done with 0.529
epoch done with 0.509
epoch done with 0.491
epoch done with 0.474
epoch done with 0.462
epoch done with 0.450
epoch done with 0.440
epoch done with 0.429
epoch done with 0.419
epoch done with 0.409
epoch done with 0.400
epoch done with 0.390
epoch done with 0.380
epoch done with 0.369
epoch done with 0.358
epoch done with 0.346
epoch done with 0.335
epoch done with 0.326
epoch done with 0.317
epoch done with 0.310
epoch done with 0.305
epoch done with 0.300
epoch done with 0.296
epoch done with 0.293
epoch done with 0.290
epoch done with 0.287
epoch done with 0.282
epoch done with 0.276
epoch done with 0.269
epoch done with 0.260
epoch done with 0.250
epoch done with 0.238
epoch done with 0.225
epoch done with 0.212
epoch done with 0.199
epoch done with 0.187
epoch done with 0.178
epoch done with 0.170
epoch done with 0.164
epoch done with 0.159
epoch done with 0.156
epoch done with 0.153
epoch done with 0.150
epoch done with 0.149
epoch done with 0.147
epoch done with 0.145
epoch done with 0.144
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.139
epoch done with 0.139
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.131
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.1, 'l2_regularization_factor': 0.0001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
