/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 1.355
epoch done with 1.225
epoch done with 1.115
epoch done with 1.019
epoch done with 0.935
epoch done with 0.860
epoch done with 0.794
epoch done with 0.736
epoch done with 0.686
epoch done with 0.643
epoch done with 0.606
epoch done with 0.574
epoch done with 0.546
epoch done with 0.523
epoch done with 0.502
epoch done with 0.483
epoch done with 0.467
epoch done with 0.451
epoch done with 0.437
epoch done with 0.424
epoch done with 0.413
epoch done with 0.402
epoch done with 0.391
epoch done with 0.382
epoch done with 0.373
epoch done with 0.364
epoch done with 0.356
epoch done with 0.348
epoch done with 0.339
epoch done with 0.329
epoch done with 0.318
epoch done with 0.305
epoch done with 0.292
epoch done with 0.278
epoch done with 0.264
epoch done with 0.250
epoch done with 0.235
epoch done with 0.220
epoch done with 0.204
epoch done with 0.190
epoch done with 0.178
epoch done with 0.169
epoch done with 0.162
epoch done with 0.157
epoch done with 0.153
epoch done with 0.149
epoch done with 0.147
epoch done with 0.145
epoch done with 0.143
epoch done with 0.141
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.131
epoch done with 0.131
epoch done with 0.131
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
epoch done with 0.128
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.1, 'l2_regularization_factor': 0.001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
