/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.932
epoch done with 0.853
epoch done with 0.786
epoch done with 0.730
epoch done with 0.682
epoch done with 0.642
epoch done with 0.609
epoch done with 0.582
epoch done with 0.557
epoch done with 0.535
epoch done with 0.516
epoch done with 0.498
epoch done with 0.481
epoch done with 0.467
epoch done with 0.453
epoch done with 0.441
epoch done with 0.430
epoch done with 0.420
epoch done with 0.410
epoch done with 0.401
epoch done with 0.392
epoch done with 0.383
epoch done with 0.374
epoch done with 0.365
epoch done with 0.355
epoch done with 0.343
epoch done with 0.332
epoch done with 0.323
epoch done with 0.315
epoch done with 0.308
epoch done with 0.303
epoch done with 0.298
epoch done with 0.294
epoch done with 0.288
epoch done with 0.283
epoch done with 0.276
epoch done with 0.268
epoch done with 0.258
epoch done with 0.247
epoch done with 0.234
epoch done with 0.220
epoch done with 0.205
epoch done with 0.191
epoch done with 0.179
epoch done with 0.170
epoch done with 0.164
epoch done with 0.159
epoch done with 0.155
epoch done with 0.152
epoch done with 0.149
epoch done with 0.147
epoch done with 0.146
epoch done with 0.144
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.133
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.131
epoch done with 0.131
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.1, 'l2_regularization_factor': 0.1, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
