/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.948
epoch done with 0.930
epoch done with 0.913
epoch done with 0.896
epoch done with 0.880
epoch done with 0.864
epoch done with 0.849
epoch done with 0.834
epoch done with 0.820
epoch done with 0.806
epoch done with 0.793
epoch done with 0.779
epoch done with 0.767
epoch done with 0.754
epoch done with 0.742
epoch done with 0.730
epoch done with 0.718
epoch done with 0.707
epoch done with 0.696
epoch done with 0.685
epoch done with 0.675
epoch done with 0.664
epoch done with 0.654
epoch done with 0.645
epoch done with 0.635
epoch done with 0.625
epoch done with 0.616
epoch done with 0.607
epoch done with 0.599
epoch done with 0.590
epoch done with 0.582
epoch done with 0.574
epoch done with 0.566
epoch done with 0.558
epoch done with 0.551
epoch done with 0.543
epoch done with 0.537
epoch done with 0.530
epoch done with 0.524
epoch done with 0.518
epoch done with 0.512
epoch done with 0.506
epoch done with 0.501
epoch done with 0.496
epoch done with 0.491
epoch done with 0.487
epoch done with 0.483
epoch done with 0.479
epoch done with 0.475
epoch done with 0.471
epoch done with 0.468
epoch done with 0.464
epoch done with 0.461
epoch done with 0.458
epoch done with 0.455
epoch done with 0.452
epoch done with 0.450
epoch done with 0.447
epoch done with 0.445
epoch done with 0.442
epoch done with 0.440
epoch done with 0.437
epoch done with 0.435
epoch done with 0.433
epoch done with 0.431
epoch done with 0.429
epoch done with 0.427
epoch done with 0.425
epoch done with 0.424
epoch done with 0.422
epoch done with 0.420
epoch done with 0.419
epoch done with 0.417
epoch done with 0.416
epoch done with 0.414
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
