/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.896
epoch done with 0.847
epoch done with 0.800
epoch done with 0.757
epoch done with 0.717
epoch done with 0.681
epoch done with 0.648
epoch done with 0.619
epoch done with 0.593
epoch done with 0.569
epoch done with 0.547
epoch done with 0.527
epoch done with 0.509
epoch done with 0.492
epoch done with 0.476
epoch done with 0.461
epoch done with 0.448
epoch done with 0.436
epoch done with 0.424
epoch done with 0.414
epoch done with 0.404
epoch done with 0.395
epoch done with 0.386
epoch done with 0.379
epoch done with 0.372
epoch done with 0.366
epoch done with 0.360
epoch done with 0.355
epoch done with 0.351
epoch done with 0.347
epoch done with 0.344
epoch done with 0.342
epoch done with 0.339
epoch done with 0.337
epoch done with 0.335
epoch done with 0.332
epoch done with 0.329
epoch done with 0.326
epoch done with 0.323
epoch done with 0.320
epoch done with 0.316
epoch done with 0.312
epoch done with 0.309
epoch done with 0.305
epoch done with 0.301
epoch done with 0.296
epoch done with 0.292
epoch done with 0.288
epoch done with 0.284
epoch done with 0.279
epoch done with 0.275
epoch done with 0.270
epoch done with 0.266
epoch done with 0.262
epoch done with 0.257
epoch done with 0.253
epoch done with 0.249
epoch done with 0.245
epoch done with 0.241
epoch done with 0.237
epoch done with 0.233
epoch done with 0.230
epoch done with 0.226
epoch done with 0.223
epoch done with 0.220
epoch done with 0.216
epoch done with 0.213
epoch done with 0.210
epoch done with 0.207
epoch done with 0.204
epoch done with 0.202
epoch done with 0.199
epoch done with 0.196
epoch done with 0.194
epoch done with 0.191
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.001, 'number_additive_traits': 1, 'model_type': 'tri_state_equilibrium_explicit'}
