/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.896
epoch done with 0.847
epoch done with 0.800
epoch done with 0.757
epoch done with 0.717
epoch done with 0.681
epoch done with 0.648
epoch done with 0.619
epoch done with 0.593
epoch done with 0.569
epoch done with 0.547
epoch done with 0.527
epoch done with 0.509
epoch done with 0.492
epoch done with 0.476
epoch done with 0.461
epoch done with 0.448
epoch done with 0.436
epoch done with 0.424
epoch done with 0.414
epoch done with 0.404
epoch done with 0.395
epoch done with 0.386
epoch done with 0.379
epoch done with 0.372
epoch done with 0.367
epoch done with 0.361
epoch done with 0.357
epoch done with 0.353
epoch done with 0.350
epoch done with 0.348
epoch done with 0.346
epoch done with 0.344
epoch done with 0.342
epoch done with 0.341
epoch done with 0.339
epoch done with 0.336
epoch done with 0.334
epoch done with 0.331
epoch done with 0.328
epoch done with 0.325
epoch done with 0.322
epoch done with 0.318
epoch done with 0.314
epoch done with 0.310
epoch done with 0.306
epoch done with 0.302
epoch done with 0.297
epoch done with 0.293
epoch done with 0.288
epoch done with 0.283
epoch done with 0.279
epoch done with 0.274
epoch done with 0.269
epoch done with 0.265
epoch done with 0.260
epoch done with 0.256
epoch done with 0.251
epoch done with 0.247
epoch done with 0.243
epoch done with 0.239
epoch done with 0.235
epoch done with 0.231
epoch done with 0.228
epoch done with 0.224
epoch done with 0.221
epoch done with 0.218
epoch done with 0.215
epoch done with 0.213
epoch done with 0.210
epoch done with 0.207
epoch done with 0.205
epoch done with 0.203
epoch done with 0.201
epoch done with 0.199
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.001, 'number_additive_traits': 1, 'model_type': 'tri_state_equilibrium_implicit'}
