/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.739
epoch done with 0.727
epoch done with 0.716
epoch done with 0.704
epoch done with 0.693
epoch done with 0.683
epoch done with 0.673
epoch done with 0.663
epoch done with 0.654
epoch done with 0.645
epoch done with 0.636
epoch done with 0.627
epoch done with 0.619
epoch done with 0.611
epoch done with 0.604
epoch done with 0.596
epoch done with 0.589
epoch done with 0.582
epoch done with 0.575
epoch done with 0.569
epoch done with 0.562
epoch done with 0.556
epoch done with 0.551
epoch done with 0.545
epoch done with 0.540
epoch done with 0.535
epoch done with 0.530
epoch done with 0.526
epoch done with 0.521
epoch done with 0.517
epoch done with 0.513
epoch done with 0.509
epoch done with 0.505
epoch done with 0.501
epoch done with 0.497
epoch done with 0.494
epoch done with 0.491
epoch done with 0.487
epoch done with 0.484
epoch done with 0.481
epoch done with 0.478
epoch done with 0.475
epoch done with 0.472
epoch done with 0.469
epoch done with 0.467
epoch done with 0.464
epoch done with 0.461
epoch done with 0.459
epoch done with 0.456
epoch done with 0.454
epoch done with 0.452
epoch done with 0.450
epoch done with 0.447
epoch done with 0.445
epoch done with 0.443
epoch done with 0.441
epoch done with 0.439
epoch done with 0.438
epoch done with 0.436
epoch done with 0.434
epoch done with 0.432
epoch done with 0.430
epoch done with 0.429
epoch done with 0.427
epoch done with 0.426
epoch done with 0.424
epoch done with 0.423
epoch done with 0.421
epoch done with 0.420
epoch done with 0.418
epoch done with 0.417
epoch done with 0.416
epoch done with 0.414
epoch done with 0.413
epoch done with 0.412
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.01, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
