/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.792
epoch done with 0.782
epoch done with 0.772
epoch done with 0.763
epoch done with 0.753
epoch done with 0.744
epoch done with 0.735
epoch done with 0.726
epoch done with 0.717
epoch done with 0.708
epoch done with 0.699
epoch done with 0.691
epoch done with 0.682
epoch done with 0.674
epoch done with 0.666
epoch done with 0.658
epoch done with 0.650
epoch done with 0.642
epoch done with 0.634
epoch done with 0.627
epoch done with 0.620
epoch done with 0.612
epoch done with 0.605
epoch done with 0.598
epoch done with 0.592
epoch done with 0.585
epoch done with 0.578
epoch done with 0.572
epoch done with 0.566
epoch done with 0.560
epoch done with 0.554
epoch done with 0.548
epoch done with 0.542
epoch done with 0.537
epoch done with 0.532
epoch done with 0.527
epoch done with 0.522
epoch done with 0.518
epoch done with 0.513
epoch done with 0.509
epoch done with 0.505
epoch done with 0.501
epoch done with 0.497
epoch done with 0.493
epoch done with 0.490
epoch done with 0.486
epoch done with 0.483
epoch done with 0.480
epoch done with 0.476
epoch done with 0.473
epoch done with 0.470
epoch done with 0.467
epoch done with 0.465
epoch done with 0.462
epoch done with 0.459
epoch done with 0.456
epoch done with 0.454
epoch done with 0.451
epoch done with 0.449
epoch done with 0.447
epoch done with 0.444
epoch done with 0.442
epoch done with 0.440
epoch done with 0.438
epoch done with 0.436
epoch done with 0.434
epoch done with 0.432
epoch done with 0.430
epoch done with 0.428
epoch done with 0.427
epoch done with 0.425
epoch done with 0.423
epoch done with 0.422
epoch done with 0.420
epoch done with 0.419
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.01, 'number_additive_traits': 1, 'model_type': 'tri_state_equilibrium_ODE'}
