/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.754
epoch done with 0.707
epoch done with 0.666
epoch done with 0.630
epoch done with 0.599
epoch done with 0.573
epoch done with 0.551
epoch done with 0.531
epoch done with 0.513
epoch done with 0.497
epoch done with 0.483
epoch done with 0.470
epoch done with 0.457
epoch done with 0.445
epoch done with 0.434
epoch done with 0.423
epoch done with 0.413
epoch done with 0.403
epoch done with 0.393
epoch done with 0.383
epoch done with 0.373
epoch done with 0.361
epoch done with 0.350
epoch done with 0.339
epoch done with 0.329
epoch done with 0.321
epoch done with 0.313
epoch done with 0.307
epoch done with 0.302
epoch done with 0.298
epoch done with 0.295
epoch done with 0.291
epoch done with 0.287
epoch done with 0.282
epoch done with 0.276
epoch done with 0.268
epoch done with 0.259
epoch done with 0.249
epoch done with 0.237
epoch done with 0.225
epoch done with 0.213
epoch done with 0.203
epoch done with 0.193
epoch done with 0.185
epoch done with 0.178
epoch done with 0.172
epoch done with 0.167
epoch done with 0.163
epoch done with 0.160
epoch done with 0.157
epoch done with 0.155
epoch done with 0.153
epoch done with 0.151
epoch done with 0.150
epoch done with 0.148
epoch done with 0.147
epoch done with 0.146
epoch done with 0.145
epoch done with 0.144
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.137
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.001, 'l2_regularization_factor': 0.0001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
