/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 1.123
epoch done with 1.020
epoch done with 0.933
epoch done with 0.857
epoch done with 0.791
epoch done with 0.735
epoch done with 0.686
epoch done with 0.645
epoch done with 0.609
epoch done with 0.579
epoch done with 0.553
epoch done with 0.531
epoch done with 0.510
epoch done with 0.492
epoch done with 0.475
epoch done with 0.460
epoch done with 0.447
epoch done with 0.434
epoch done with 0.423
epoch done with 0.412
epoch done with 0.402
epoch done with 0.392
epoch done with 0.383
epoch done with 0.374
epoch done with 0.365
epoch done with 0.356
epoch done with 0.347
epoch done with 0.336
epoch done with 0.324
epoch done with 0.313
epoch done with 0.302
epoch done with 0.291
epoch done with 0.280
epoch done with 0.269
epoch done with 0.257
epoch done with 0.244
epoch done with 0.230
epoch done with 0.214
epoch done with 0.198
epoch done with 0.185
epoch done with 0.174
epoch done with 0.166
epoch done with 0.160
epoch done with 0.155
epoch done with 0.152
epoch done with 0.149
epoch done with 0.146
epoch done with 0.145
epoch done with 0.143
epoch done with 0.142
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.133
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.131
epoch done with 0.131
epoch done with 0.131
epoch done with 0.131
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
epoch done with 0.129
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.1, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
