/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.800
epoch done with 0.740
epoch done with 0.691
epoch done with 0.650
epoch done with 0.616
epoch done with 0.588
epoch done with 0.563
epoch done with 0.541
epoch done with 0.521
epoch done with 0.503
epoch done with 0.486
epoch done with 0.473
epoch done with 0.462
epoch done with 0.452
epoch done with 0.442
epoch done with 0.432
epoch done with 0.423
epoch done with 0.415
epoch done with 0.407
epoch done with 0.399
epoch done with 0.392
epoch done with 0.385
epoch done with 0.377
epoch done with 0.369
epoch done with 0.360
epoch done with 0.349
epoch done with 0.336
epoch done with 0.325
epoch done with 0.317
epoch done with 0.310
epoch done with 0.305
epoch done with 0.300
epoch done with 0.297
epoch done with 0.293
epoch done with 0.288
epoch done with 0.282
epoch done with 0.275
epoch done with 0.266
epoch done with 0.255
epoch done with 0.244
epoch done with 0.231
epoch done with 0.217
epoch done with 0.204
epoch done with 0.191
epoch done with 0.181
epoch done with 0.173
epoch done with 0.166
epoch done with 0.161
epoch done with 0.157
epoch done with 0.154
epoch done with 0.151
epoch done with 0.149
epoch done with 0.147
epoch done with 0.146
epoch done with 0.145
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.133
epoch done with 0.133
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.01, 'l2_regularization_factor': 0.001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
