/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.698
epoch done with 0.662
epoch done with 0.631
epoch done with 0.605
epoch done with 0.581
epoch done with 0.561
epoch done with 0.542
epoch done with 0.525
epoch done with 0.509
epoch done with 0.495
epoch done with 0.481
epoch done with 0.469
epoch done with 0.457
epoch done with 0.446
epoch done with 0.435
epoch done with 0.425
epoch done with 0.415
epoch done with 0.405
epoch done with 0.395
epoch done with 0.385
epoch done with 0.373
epoch done with 0.360
epoch done with 0.348
epoch done with 0.337
epoch done with 0.327
epoch done with 0.319
epoch done with 0.312
epoch done with 0.306
epoch done with 0.301
epoch done with 0.298
epoch done with 0.294
epoch done with 0.291
epoch done with 0.286
epoch done with 0.280
epoch done with 0.272
epoch done with 0.262
epoch done with 0.251
epoch done with 0.240
epoch done with 0.228
epoch done with 0.216
epoch done with 0.205
epoch done with 0.195
epoch done with 0.186
epoch done with 0.179
epoch done with 0.173
epoch done with 0.168
epoch done with 0.164
epoch done with 0.161
epoch done with 0.159
epoch done with 0.157
epoch done with 0.155
epoch done with 0.153
epoch done with 0.152
epoch done with 0.150
epoch done with 0.149
epoch done with 0.148
epoch done with 0.146
epoch done with 0.145
epoch done with 0.144
epoch done with 0.143
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.139
epoch done with 0.139
epoch done with 0.138
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
Grid search using {'num_samples': 128, 'learning_rate': 0.001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.0001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
