/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.155
epoch done with 0.145
epoch done with 0.151
epoch done with 0.142
epoch done with 0.140
epoch done with 0.140
epoch done with 0.137
epoch done with 0.134
epoch done with 0.131
epoch done with 0.130
epoch done with 0.130
epoch done with 0.135
epoch done with 0.131
epoch done with 0.130
epoch done with 0.131
epoch done with 0.131
epoch done with 0.132
epoch done with 0.131
epoch done with 0.130
epoch done with 0.131
epoch done with 0.132
epoch done with 0.135
epoch done with 0.132
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
epoch done with nan
Grid search using {'num_samples': 128, 'learning_rate': 0.1, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.0001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
