/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.726
epoch done with 0.685
epoch done with 0.648
epoch done with 0.616
epoch done with 0.589
epoch done with 0.566
epoch done with 0.546
epoch done with 0.528
epoch done with 0.511
epoch done with 0.496
epoch done with 0.482
epoch done with 0.469
epoch done with 0.457
epoch done with 0.445
epoch done with 0.434
epoch done with 0.424
epoch done with 0.414
epoch done with 0.404
epoch done with 0.394
epoch done with 0.384
epoch done with 0.373
epoch done with 0.361
epoch done with 0.349
epoch done with 0.338
epoch done with 0.328
epoch done with 0.320
epoch done with 0.313
epoch done with 0.307
epoch done with 0.302
epoch done with 0.298
epoch done with 0.295
epoch done with 0.292
epoch done with 0.288
epoch done with 0.284
epoch done with 0.278
epoch done with 0.270
epoch done with 0.261
epoch done with 0.251
epoch done with 0.240
epoch done with 0.228
epoch done with 0.217
epoch done with 0.206
epoch done with 0.196
epoch done with 0.187
epoch done with 0.180
epoch done with 0.174
epoch done with 0.169
epoch done with 0.165
epoch done with 0.162
epoch done with 0.159
epoch done with 0.157
epoch done with 0.155
epoch done with 0.153
epoch done with 0.151
epoch done with 0.149
epoch done with 0.148
epoch done with 0.147
epoch done with 0.146
epoch done with 0.145
epoch done with 0.144
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.139
epoch done with 0.139
epoch done with 0.138
epoch done with 0.137
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.0001, 'l2_regularization_factor': 0.01, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
True
