/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 1.100
epoch done with 1.001
epoch done with 0.916
epoch done with 0.843
epoch done with 0.780
epoch done with 0.725
epoch done with 0.679
epoch done with 0.638
epoch done with 0.604
epoch done with 0.575
epoch done with 0.550
epoch done with 0.528
epoch done with 0.508
epoch done with 0.490
epoch done with 0.474
epoch done with 0.459
epoch done with 0.446
epoch done with 0.433
epoch done with 0.422
epoch done with 0.411
epoch done with 0.401
epoch done with 0.391
epoch done with 0.382
epoch done with 0.373
epoch done with 0.364
epoch done with 0.355
epoch done with 0.345
epoch done with 0.334
epoch done with 0.321
epoch done with 0.310
epoch done with 0.300
epoch done with 0.289
epoch done with 0.278
epoch done with 0.267
epoch done with 0.255
epoch done with 0.242
epoch done with 0.228
epoch done with 0.212
epoch done with 0.197
epoch done with 0.184
epoch done with 0.173
epoch done with 0.165
epoch done with 0.159
epoch done with 0.155
epoch done with 0.151
epoch done with 0.149
epoch done with 0.146
epoch done with 0.145
epoch done with 0.143
epoch done with 0.142
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.138
epoch done with 0.137
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
epoch done with 0.134
epoch done with 0.133
epoch done with 0.133
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.132
epoch done with 0.131
epoch done with 0.131
epoch done with 0.131
epoch done with 0.131
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
epoch done with 0.130
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.001, 'l2_regularization_factor': 0.01, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
True
