/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.661
epoch done with 0.636
epoch done with 0.613
epoch done with 0.591
epoch done with 0.572
epoch done with 0.554
epoch done with 0.537
epoch done with 0.522
epoch done with 0.507
epoch done with 0.493
epoch done with 0.481
epoch done with 0.469
epoch done with 0.457
epoch done with 0.447
epoch done with 0.437
epoch done with 0.427
epoch done with 0.419
epoch done with 0.410
epoch done with 0.402
epoch done with 0.395
epoch done with 0.386
epoch done with 0.375
epoch done with 0.362
epoch done with 0.348
epoch done with 0.336
epoch done with 0.326
epoch done with 0.317
epoch done with 0.311
epoch done with 0.305
epoch done with 0.301
epoch done with 0.297
epoch done with 0.293
epoch done with 0.287
epoch done with 0.280
epoch done with 0.271
epoch done with 0.260
epoch done with 0.248
epoch done with 0.236
epoch done with 0.224
epoch done with 0.212
epoch done with 0.201
epoch done with 0.191
epoch done with 0.183
epoch done with 0.176
epoch done with 0.170
epoch done with 0.166
epoch done with 0.162
epoch done with 0.159
epoch done with 0.157
epoch done with 0.155
epoch done with 0.153
epoch done with 0.151
epoch done with 0.150
epoch done with 0.148
epoch done with 0.147
epoch done with 0.146
epoch done with 0.145
epoch done with 0.144
epoch done with 0.143
epoch done with 0.142
epoch done with 0.141
epoch done with 0.140
epoch done with 0.140
epoch done with 0.139
epoch done with 0.138
epoch done with 0.138
epoch done with 0.137
epoch done with 0.137
epoch done with 0.136
epoch done with 0.136
epoch done with 0.135
epoch done with 0.135
epoch done with 0.135
epoch done with 0.134
epoch done with 0.134
Grid search using {'num_samples': 128, 'learning_rate': 0.0001, 'l1_regularization_factor': 0.01, 'l2_regularization_factor': 0.0001, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
True
